type,frame,x,y,id
1,4,1026,698,0
1,5,1026,708,1
1,8,1026,682,2
1,14,994,696,3
1,16,978,524,4
1,16,1014,366,5
1,16,686,178,6
1,17,684,206,7
1,17,614,174,8
1,17,978,210,9
1,17,1026,286,10
1,17,192,244,11
1,18,232,82,12
1,18,672,144,13
1,18,956,374,14
1,18,972,550,15
1,19,868,478,16
1,19,950,296,17
1,19,952,272,18
1,19,982,268,19
1,19,962,236,20
1,20,930,290,21
1,20,874,248,22
1,20,866,208,23
1,20,900,372,24
1,20,806,806,25
1,20,292,492,26
1,20,222,426,27
1,21,48,462,28
1,21,16,440,29
1,21,738,794,30
1,21,966,512,31
1,21,978,466,32
1,21,974,530,33
1,21,1026,418,34
1,22,984,408,35
1,22,938,322,36
1,22,880,324,37
1,22,864,342,38
1,22,804,412,39
1,22,120,336,40
1,22,114,276,41
1,23,184,402,42
1,23,646,172,43
1,23,822,256,44
1,23,916,410,45
1,24,848,402,46
1,24,1016,460,47
1,24,1012,486,48
1,24,750,724,49
1,24,608,740,50
1,24,106,240,51
1,25,250,356,52
1,25,994,290,53
1,25,1012,670,54
1,26,874,512,55
1,26,800,782,56
1,26,710,680,57
1,26,700,644,58
1,26,946,206,59
1,26,556,784,60
1,26,596,364,61
1,26,638,144,62
1,28,820,516,63
1,28,850,544,64
1,28,266,526,65
1,29,250,490,66
1,29,88,472,67
1,29,148,230,68
1,29,698,784,69
1,29,802,710,70
1,30,934,504,71
1,30,934,474,72
1,31,828,354,73
1,32,270,476,74
1,33,450,618,75
1,33,572,368,76
1,33,124,44,77
1,33,572,822,78
1,33,168,24,79
1,34,292,394,80
1,34,650,4,81
1,34,642,440,82
1,34,796,470,83
1,34,984,196,84
1,35,676,358,85
1,35,800,498,86
1,40,564,388,87
1,40,256,428,88
1,40,164,210,89
1,40,108,8,90
1,41,154,4,91
1,41,800,336,92
1,41,868,802,93
1,43,624,754,94
1,43,510,592,95
1,43,990,232,96
1,43,82,424,97
1,46,804,534,98
1,47,852,356,99
1,47,910,244,100
1,48,576,430,101
1,48,178,380,102
1,50,704,822,103
1,51,250,394,104
1,52,312,356,105
1,54,232,134,106
1,54,848,278,107
